id,date_ms,sym,side,size,akk
264,1787620611063,B3USDT,Buy,79.9897,4
265,1787620612744,JNJUSDT,Buy,38.318,0
266,1787620612927,JNJUSDT,Sell,38.318,1
267,1787620613116,JNJUSDT,Buy,38.318,2
268,1787620613299,JNJUSDT,Sell,38.318,3
269,1787620613648,JNJUSDT,Sell,79.373,4
270,1787620614498,MINIMAXUSDT,Sell,39.6891,1
271,1787620614685,MINIMAXUSDT,Buy,39.6891,2
272,1787620614872,MINIMAXUSDT,Sell,39.6891,3
273,1787620615223,MINIMAXUSDT,Sell,79.7791,4
274,1787621208518,AGIUSDT,Sell,39.991,0
275,1787621208705,AGIUSDT,Buy,39.991,1
276,1787621208889,AGIUSDT,Sell,39.991,2
277,1787621210733,FWDIUSDT,Sell,39.916,3
278,1787621808563,AGIUSDT,Buy,39.98196,1
279,1787621808746,AGIUSDT,Buy,39.98196,3
280,1787621809098,AGIUSDT,Buy,79.96392,4
281,1787623608592,GRVTUSDT,Sell,39.98016,0
282,1787623608776,GRVTUSDT,Buy,39.98016,1
283,1787623608962,GRVTUSDT,Sell,39.98016,2
284,1787623609146,GRVTUSDT,Buy,39.98016,3
285,1787623609497,GRVTUSDT,Buy,79.96032,4
286,1787624208368,BNCUSDT,Buy,39.8976,2
287,1787624809255,AGIUSDT,Buy,39.98584,1
288,1787624809440,AGIUSDT,Sell,39.98584,2
289,1787624809793,AGIUSDT,Buy,79.97168,4
290,1787624813150,GRVTUSDT,Buy,39.8307,1
291,1787624813335,GRVTUSDT,Sell,39.8307,2
292,1787624813524,GRVTUSDT,Buy,39.8307,3
293,1787624813874,GRVTUSDT,Buy,79.86566,4
294,1787625409127,AGIUSDT,Sell,39.9903,0
295,1787625409311,AGIUSDT,Buy,39.9903,1
296,1787625409497,AGIUSDT,Sell,39.9903,2
297,1787625409682,AGIUSDT,Buy,39.9903,3
298,1787625410034,AGIUSDT,Buy,79.9806,4
299,1787626008300,AGIUSDT,Sell,39.991,0
300,1787626008482,AGIUSDT,Buy,39.991,1
301,1787626008668,AGIUSDT,Sell,39.991,2
302,1787626009020,AGIUSDT,Buy,79.982,4
303,1787626012134,BXUSDT,Sell,38.6505,1
304,1787626012483,BXUSDT,Sell,78.7325,4
305,1787626608912,AGIUSDT,Sell,39.99182,2
306,1787627209323,AGIUSDT,Sell,39.9978,2
307,1787627212002,CXMTUSDT,Buy,39.3792,1
308,1787627212186,CXMTUSDT,Sell,39.3792,2
309,1787627212371,CXMTUSDT,Buy,39.3792,3
310,1787627212726,CXMTUSDT,Buy,79.5788,4
311,1787627214716,GEVUSDT,Buy,39.63498,0
312,1787627214900,GEVUSDT,Sell,39.63498,1
313,1787627215084,GEVUSDT,Buy,39.63498,2
314,1787627215270,GEVUSDT,Sell,39.63498,3
315,1787627215619,GEVUSDT,Sell,79.26996,4
316,1787627216468,MAUSDT,Buy,35.8236,1
317,1787627216885,MAUSDT,Buy,77.6178,4
318,1787627808512,AGIUSDT,Sell,39.98685,2
319,1787628407838,AGIUSDT,Sell,39.95341,0
320,1787628408024,AGIUSDT,Buy,39.95341,1
321,1787628408210,AGIUSDT,Sell,39.95341,2
322,1787628408395,AGIUSDT,Buy,39.95341,3
323,1787628408752,AGIUSDT,Buy,79.95733,4
324,1787628411261,CXMTUSDT,Sell,39.7536,2
325,1787629008835,AGIUSDT,Buy,39.97158,1
326,1787629009024,AGIUSDT,Sell,39.97158,2
327,1787629009213,AGIUSDT,Buy,39.97158,3
328,1787629010284,BNCUSDT,Sell,39.7891,3
329,1787629011300,CXMTUSDT,Buy,39.7824,3
330,1787629012313,FWDIUSDT,Sell,39.6707,3
331,1787629013329,GEVUSDT,Sell,39.78996,3
332,1787629014356,MAUSDT,Buy,35.8242,3
333,1787629607812,AGIUSDT,Sell,39.9977,0
334,1787629607995,AGIUSDT,Sell,39.9977,2
335,1787630208328,AGIUSDT,Buy,39.96384,3
336,1787630812939,ESPUSDT,Sell,39.87,0
337,1787630813124,ESPUSDT,Buy,39.87,1
338,1787630813311,ESPUSDT,Sell,39.87,2
339,1787630813504,ESPUSDT,Buy,39.87,3
340,1787630813854,ESPUSDT,Buy,79.74,4
341,1787630815527,GRVTUSDT,Sell,39.9009,2
342,1787630815716,GRVTUSDT,Buy,39.9009,3
