id,date_ms,sym,side,pnl,akk
225,1787634060321,DDOGUSDT,Buy,0.049,4
226,1787634060603,BNCUSDT,Buy,1.1137,4
227,1787634060885,APPSTOCKUSDT,Sell,-0.143,4
228,1787634061175,ADBEUSDT,Sell,-0.0392,4
229,1787634473379,AGIUSDT,Sell,-0.37206,2
230,1787634634812,AGIUSDT,Buy,-0.54756,3
231,1787634912535,AGIUSDT,Sell,-1.32678,0
232,1787635033496,AGIUSDT,Sell,-0.49056,2
233,1787635225182,AGIUSDT,Buy,-0.504,3
234,1787635486292,AGIUSDT,Buy,-2.63424,4
235,1787635503159,AGIUSDT,Buy,-1.4448,1
236,1787635642991,HANAUSDT,Sell,-1.2267,1
237,1787635773891,ACXUSDT,Sell,-0.35557,2
238,1787635794042,AGIUSDT,Sell,-0.4302,2
239,1787635954179,ESPUSDT,Sell,-0.396,2
240,1787636364397,ACXUSDT,Buy,-0.43746,3
241,1787636504320,ACXUSDT,Sell,-0.37089,2
242,1787636614126,AGIUSDT,Sell,-0.45175,2
243,1787636834097,AGIUSDT,Sell,-0.37746,2
244,1787636934067,JNJUSDT,Buy,-0.3738,2
245,1787637417022,NESAUSDT,Sell,0.602,1
246,1787637417307,B3USDT,Buy,0.52065,1
247,1787637417592,MOVEUSDT,Buy,0.7584,1
248,1787637417877,CROSSUSDT,Buy,-0.26828,1
249,1787637418160,GRVTUSDT,Buy,0.6591,1
250,1787637418444,MAUSDT,Buy,0.0006,1
251,1787637418724,GEVUSDT,Sell,-0.42336,1
252,1787637419005,BXUSDT,Sell,-0.0567,1
253,1787637419288,FWDIUSDT,Sell,-1.104,1
254,1787637419574,JSTUSDT,Buy,0.5928,1
255,1787637419858,HYUNDAIUSDT,Buy,0.494,1
256,1787637420139,DDOGUSDT,Buy,0.1513,1
257,1787637420420,BNCUSDT,Buy,0.4644,1
258,1787637420700,APPSTOCKUSDT,Sell,-0.039,1
259,1787637420979,ADBEUSDT,Sell,0.0112,1
260,1787637442958,AGIUSDT,Sell,-0.59664,2
261,1787637502150,AGIUSDT,Sell,-1.22304,0
262,1787638084019,AGIUSDT,Sell,-0.38019,2
263,1787638391536,AGIUSDT,Sell,-1.24729,0
264,1787638623886,AGIUSDT,Sell,-0.37874,2
265,1787638706319,AGIUSDT,Buy,1.12316,4
266,1787638706599,MAUSDT,Buy,0.0572,4
267,1787638706887,GEVUSDT,Sell,-0.5838,4
268,1787638707164,BNCUSDT,Sell,0.0,4
269,1787638707450,APPSTOCKUSDT,Sell,-0.0988,4
270,1787639041484,CXMTUSDT,Sell,-1.1088,0
271,1787639124721,AGIUSDT,Buy,-0.50281,3
272,1787639214622,AGIUSDT,Buy,-1.52802,1
273,1787639314404,AGIUSDT,Sell,-0.58652,2
274,1787639815630,AGIUSDT,Buy,-0.60698,3
275,1787639903985,AGIUSDT,Sell,-0.45175,2
276,1787640444132,AGIUSDT,Sell,-0.44022,2
277,1787640616955,MAUSDT,Buy,-0.0054,1
278,1787640617247,BNCUSDT,Sell,0.1536,1
279,1787640617527,APPSTOCKUSDT,Sell,-0.0234,1
