id,date_ms,sym,fund,next
349,1787610958117,CASHCATUSDT,0.3202,1787616000000
350,1787610971182,EPICUSDT,-0.118,1787616000000
351,1787610976285,FORMUSDT,0.1231,1787616000000
352,1787610983040,HOMEUSDT,-0.2146,1787616000000
353,1787610995403,LYTEUSDT,-0.1224,1787616000000
354,1787610996723,MAUSDT,-0.185,1787616000000
355,1787611532438,1000BTTUSDT,-0.2701,1787616000000
356,1787611535425,ACEUSDT,-0.3307,1787616000000
357,1787611551907,BICOUSDT,-0.224,1787616000000
358,1787611556191,BSPUSDT,0.1665,1787616000000
359,1787611558225,CASHCATUSDT,0.3285,1787616000000
360,1787611571219,EPICUSDT,-0.1222,1787616000000
361,1787611576002,FORMUSDT,0.1236,1787616000000
362,1787611582756,HOMEUSDT,-0.2143,1787616000000
363,1787611595108,LYTEUSDT,-0.1492,1787616000000
364,1787611596433,MAUSDT,-0.193,1787616000000
365,1787612133416,1000BTTUSDT,-0.2687,1787616000000
366,1787612136411,ACEUSDT,-0.3095,1787616000000
367,1787612153434,BICOUSDT,-0.2297,1787616000000
368,1787612157720,BSPUSDT,0.1632,1787616000000
369,1787612159704,CASHCATUSDT,0.2987,1787616000000
370,1787612172712,EPICUSDT,-0.1106,1787616000000
371,1787612177488,FORMUSDT,0.1247,1787616000000
372,1787612184230,HOMEUSDT,-0.2075,1787616000000
373,1787612196567,LYTEUSDT,-0.1731,1787616000000
374,1787612197906,MAUSDT,-0.193,1787616000000
375,1787612732293,1000BTTUSDT,-0.2646,1787616000000
376,1787612735283,ACEUSDT,-0.295,1787616000000
377,1787612737278,AGIUSDT,-0.1033,1787616000000
378,1787612751707,BICOUSDT,-0.2349,1787616000000
379,1787612756013,BSPUSDT,0.1689,1787616000000
380,1787612757997,CASHCATUSDT,0.2621,1787616000000
381,1787612775780,FORMUSDT,0.12,1787616000000
382,1787612782522,HOMEUSDT,-0.2114,1787616000000
383,1787612794846,LYTEUSDT,-0.1805,1787616000000
384,1787612796168,MAUSDT,-0.1926,1787616000000
385,1787613331651,1000BTTUSDT,-0.2618,1787616000000
386,1787613334647,ACEUSDT,-0.2768,1787616000000
387,1787613336639,AGIUSDT,-0.11,1787616000000
388,1787613351415,BICOUSDT,-0.2398,1787616000000
389,1787613355701,BSPUSDT,0.1749,1787616000000
390,1787613356696,BXUSDT,0.1011,1787616000000
391,1787613358005,CASHCATUSDT,0.2391,1787616000000
392,1787613375802,FORMUSDT,0.1155,1787616000000
393,1787613382568,HOMEUSDT,-0.2282,1787616000000
394,1787613394940,LYTEUSDT,-0.1811,1787616000000
395,1787613396270,MAUSDT,-0.1918,1787616000000
396,1787613932060,1000BTTUSDT,-0.2601,1787616000000
397,1787613935083,ACEUSDT,-0.2588,1787616000000
398,1787613937835,AGIUSDT,-0.1053,1787616000000
399,1787613951935,BICOUSDT,-0.243,1787616000000
400,1787613956239,BSPUSDT,0.1793,1787616000000
401,1787613957232,BXUSDT,0.1032,1787616000000
402,1787613958232,CASHCATUSDT,0.2154,1787616000000
403,1787613976022,FORMUSDT,0.1092,1787616000000
404,1787613982787,HOMEUSDT,-0.2469,1787616000000
405,1787613995166,LYTEUSDT,-0.1709,1787616000000
406,1787613996492,MAUSDT,-0.1914,1787616000000
407,1787614532732,1000BTTUSDT,-0.2558,1787616000000
408,1787614535732,ACEUSDT,-0.2476,1787616000000
